"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"PSMB2","OK",1.65862590803987e-28,11.0127488917219,0.0709540779550182,"PSMB2",2.57363204578752e-27
"C1orf216","OK",0.157533355851003,1.00464730204253,0.00619878119702179,"C1orf216",0.363248132497327
"CLSPN","OK",0.256570819631966,0.653953694018336,0.00392832862157401,"CLSPN",0.510800826843223
"AGO4","OK",0.053288239315789,1.61377389604386,0.0101305050566906,"AGO4",0.155490175620326
"AGO1","OK",0.827284576118345,-0.943488983121143,-0.00636924905454397,"AGO1",0.867755327514703
"AL139286.2","OK",0.436413469307884,0.16006872334049,-0.000267880200667464,"AL139286.2",0.727243286360426
"AGO3","OK",0.0741376017263265,1.44565068259116,0.00906218018306097,"AGO3",0.203447646634852
"TEKT2","OK",0.806443441718032,-0.864864586911701,-0.000350229968422001,"TEKT2",0.854840957497211
"ADPRHL2","OK",0.192388771619623,0.869127232042668,0.00533691264725876,"ADPRHL2",0.417548789368082
"COL8A2","OK",1.38795992105897e-259,34.3972076415485,0.208674843527942,"COL8A2",1.11808603173531e-257
"TRAPPC3","OK",0.325927307218143,0.451187227397219,0.00263697829193211,"TRAPPC3",0.60079778113062
"MAP7D1","OK",0.471327831354927,0.0719324535878087,0.000184370739292837,"MAP7D1",0.749795867700198
