"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SALL2","OK",3.45105451722655e-09,5.79328923088731,0.0205751213178195,"SALL2",5.82676551286958e-09
"OR10G3","OK",0.523042960727795,-0.0577922913310467,-0.000224637334329602,"OR10G3",0.594145667571509
"TRAV1-1","OK",0.0197076706097166,2.05982429383003,0.00673149239793761,"TRAV1-1",0.0260752305826661
"TRAV1-2","OK",0.60808550767347,-0.274332664153528,-0.0010301263579184,"TRAV1-2",0.62867810809011
"TRAV2","OK",0.00027907355967901,3.45117713359944,0.0119910886532673,"TRAV2",0.000403634466378845
"TRAV3","OK",0.162467080252499,0.984368906399891,0.00337133613639932,"TRAV3",0.201333390668704
"TRAV4","OK",0.0228301470603221,1.99852018222479,0.00702451511217664,"TRAV4",0.0301018927815484
"TRAV5","OK",0.0337064052600866,1.82891187815557,0.00641205669321788,"TRAV5",0.0439213420669406
"TRAV6","OK",7.2434614712744e-08,5.25896401917883,0.0186846421615791,"TRAV6",1.17649752287538e-07
"TRAV10","OK",0.0533791357715444,1.61293665072941,0.00529056815842204,"TRAV10",0.068673957401864
"TRAV12-1","OK",0.199014211772501,0.845147619752857,0.00282721442780623,"TRAV12-1",0.2447835209833
"TRAV8-2","OK",0.054015907510135,1.60710281902895,0.005640973478106,"TRAV8-2",0.0694615638502991
"TRAV8-3","OK",0.709401074028946,-0.551635875272676,-0.00203783047750053,"TRAV8-3",0.715513482589713
"TRAV13-1","OK",0.00677560410286098,2.46894490139808,0.00866487542463359,"TRAV13-1",0.00920237374480975
"TRAV12-2","OK",0.607918789486158,-0.273898764567492,-0.00108306316857056,"TRAV12-2",0.628571442659523
"TRAV8-4","OK",0.511920446288944,-0.0298845753767523,-0.000216488962902059,"TRAV8-4",0.594145667571509
"TRAV13-2","OK",3.34447981255921e-15,7.79022571116218,0.0278101505157632,"TRAV13-2",6.38092816393662e-15
"TRAV14DV4","OK",0.0365748852331274,1.7918951035738,0.00621935348494902,"TRAV14DV4",0.0475526389699632
"TRAV9-2","OK",0.614120863442372,-0.290075768517485,-0.0011048579774643,"TRAV9-2",0.633362164606426
"TRAV12-3","OK",0.333304411852136,0.430806842734953,0.00141218700313596,"TRAV12-3",0.401691208021371
"TRAV8-6","OK",1.96582057380621e-08,5.4938950851405,0.0191458572635777,"TRAV8-6",3.25084246523517e-08
