	log2FoldChange	fdr
AC127496.5	-2.6924909650256	1
DSEL	-2.6924909650256	1
STK33	-2.6924909650256	0.559598629931629
CACNA1H	-2.6924909650256	1
VSTM4	-2.6924909650256	1
NTN4	-2.6924909650256	1
LDB2	-2.6924909650256	0.054982955962086
PLEKHG5	-2.6924909650256	0.309986816557756
HHEX	-2.6924909650256	1
ZNF205	-2.6924909650256	1
AC005776.2	-2.6924909650256	1
AP003469.4	-2.6924909650256	1
AC124016.2	-2.6924909650256	1
LINC01465	-2.6924909650256	1
AC074050.4	-2.6924909650256	1
KLRF1	-2.6924909650256	1
EXD2	-2.6924909650256	1
AL137077.2	-2.6924909650256	1
IL5RA	-2.6924909650256	1
KIAA1683	-2.6924909650256	1
RBFOX2	-2.6924909650256	1
CX3CR1	-2.6924909650256	1
AC104825.2	-2.6924909650256	0.671697797270082
DAPK1	-2.6924909650256	0.860085755983216
MIR646HG	-2.6924909650256	1
AC010132.4	-2.6924909650256	1
RND1	-2.6924909650256	1
EREG	-2.6924909650256	1
EDN1	-2.6924909650256	1
ANGPTL2	-2.6924909650256	1
MYCN	-2.6924909650256	1
ANKRD31	-2.6924909650256	0.831961031731348
GPR173	-2.6924909650256	1
DCHS1	-2.6924909650256	1
SFRP1	-2.6924909650256	1
TTC8	-2.6924909650256	1
CNRIP1	-2.6924909650256	1
JMJD7-PLA2G4B	-2.6924909650256	1
CMBL	-2.6924909650256	1
INSR	-2.6924909650256	1
TMEM231	-2.6924909650256	1
PCGF2	-2.6924909650256	1
LIMCH1	-2.6924909650256	1
SLC18A2	-2.6924909650256	0.473613176238484
MIR200CHG	-2.6924909650256	1
TEAD4	-2.6924909650256	1
BMP4	-2.6924909650256	1
PDPN	-2.6924909650256	0.006706944364845
AL442128.2	-2.6924909650256	1.98068777359531E-14
HOXB9	-2.6924909650256	0.83886488022871
ARNT2	-2.6924909650256	1
MYRF	-2.6924909650256	1
SEMA5B	-2.6924909650256	1
AC013400.1	-2.6924909650256	0.965398793142284
FHL1	-2.6924909650256	2.72705773473043E-07
RHBDF1	-2.6924909650256	1
C1QTNF1	-2.6924909650256	1
CX3CL1	-2.6924909650256	1
ALDH1L2	-2.6924909650256	1
RTP5	-2.6924909650256	1
ZNF667	-2.6924909650256	1
SH3BGR	-2.6924909650256	1
RAB6B	-2.6924909650256	1
ADGRA2	-2.6924909650256	1
GTSE1-AS1	-2.6924909650256	1
KCNE3	-2.6924909650256	1
ACVR1C	-2.6924909650256	1
C9orf43	-2.6924909650256	1
TMEM198	-2.6924909650256	1
ATP6V1C2	-2.6924909650256	1
GPR22	-2.6924909650256	1
AC008403.3	-2.6924909650256	1
RASSF9	-2.6924909650256	1
ZBED3	-2.6924909650256	1
TINAGL1	-2.6924909650256	1
PADI2	-2.6924909650256	1
GXYLT2	-2.6924909650256	1
AC067838.1	-2.6924909650256	1
AC119396.1	-2.6924909650256	1
C19orf18	-2.6924909650256	0.450990976214659
TNFRSF11A	-2.6924909650256	1
CASC15	-2.6924909650256	0.671697797270082
MFSD2B	-2.6924909650256	1
AC067747.1	-2.6924909650256	1
SH3D19	-2.6924909650256	1
CCDC68	-2.6924909650256	1
EPHX4	-2.6924909650256	0.003006109900483
AC022182.1	-2.6924909650256	1
DOCK1	-2.6924909650256	1
SLC6A20	-2.6924909650256	1
GARNL3	-2.6924909650256	1
UPK3B	-2.6924909650256	0.82651280511565
GRIP1	-2.6924909650256	1
LRRC6	-2.6924909650256	1
CD300E	-2.6924909650256	0.488910786598627
COLEC12	-2.6924909650256	1
LRP3	-2.6924909650256	1
TAS1R3	-2.6924909650256	1
CRLF1	-2.6924909650256	1
AC127002.1	-2.6924909650256	1
SLC22A18AS	-2.6924909650256	1
FSIP2	-2.6924909650256	0.514369193169438
BDNF	-2.6924909650256	1
TENM4	-2.6924909650256	1
CYS1	-2.6924909650256	1
WASIR2	-2.6924909650256	1
RNF208	-2.6924909650256	1
SNX7	-2.6924909650256	1
RASIP1	-2.6924909650256	0.34338708695002
SYT17	-2.6924909650256	1
ITGB1-DT	-2.6924909650256	1
CC2D2A	-2.6924909650256	1
RADIL	-2.6924909650256	1
SLCO2A1	-2.6924909650256	1
RPS6KA6	-2.6924909650256	1
ECM1	-2.6924909650256	0.782374102854266
DES	-2.6924909650256	1
AL645940.1	-2.6924909650256	1
MACROD2	-2.6924909650256	1
ASAP2	-2.6924909650256	1
CMYA5	-2.6924909650256	1
LINC00880	-2.6924909650256	1
CDH2	-2.6924909650256	1
ZNF618	-2.6924909650256	1
HSPA6	-2.67411243571074	0.09538593828855
HSPA1B	-2.64603551992907	1
CALD1	-2.63590743665923	0.477949109288868
COL1A1	-2.61973462259028	1
DCN	-2.61232061634162	0.031701760124878
C1S	-2.59295529147469	1
SLC9A7	-2.59295529147469	1
TRBV29-1	-2.57701374760567	1
HLA-DOB	-2.55498744127566	1
COL5A1	-2.54048787158055	1
FSTL1	-2.52256596358329	1
SNHG18	-2.52256596358329	1
AC025259.3	-2.52256596358329	1
BAIAP2-AS1	-2.52256596358329	0.205905758144341
COL12A1	-2.49085710385595	1
TIMP3	-2.47009854368916	0.383959308201665
GKAP1	-2.47009854368916	0
DDR2	-2.47009854368916	1
TRBV14	-2.47009854368916	1
CFH	-2.4514828655218	1
B3GNT7	-2.42945655919181	1
GPR160	-2.42945655919181	1
DOCK7	-2.40298434783062	1
CCDC80	-2.40298434783062	1
COL3A1	-2.38763638349718	1
FCGR3A	-2.37798034170072	1
SLC4A4	-2.37056287013824	1
RAP1GAP2	-2.37056287013824	0.452463419777426
RCN3	-2.37056287013824	0.124901584097382
EFNB2	-2.37056287013824	0.569644945904476
GAB1	-2.37056287013824	1
SHB	-2.37056287013824	0.168092172458122
C5AR1	-2.37056287013824	1
GOLGA6L10	-2.37056287013824	1
CDNF	-2.37056287013824	1
MAPRE3	-2.37056287013824	0.003500690600497
PDGFC	-2.37056287013824	0.760210870632775
LY6G5B	-2.37056287013824	0.001270051710345
IL3RA	-2.37056287013824	0.097807306245477
GATA6	-2.37056287013824	1
RAB3A	-2.37056287013824	1
HOXD8	-2.37056287013824	1
STX16-NPEPL1	-2.37056287013824	1
YPEL4	-2.37056287013824	0.125837072512798
RAI14	-2.37056287013824	1
AC139795.3	-2.37056287013824	1
ZFR2	-2.37056287013824	1
WNK2	-2.37056287013824	1
KIF19	-2.37056287013824	1
TRBV7-9	-2.3299208856409	1
CPE	-2.3299208856409	1
ZNF674	-2.3299208856409	1
THBS1	-2.30017354224684	1
CHPT1	-2.28531558351972	1
ENC1	-2.27745346574676	1
MAP3K20	-2.27745346574676	1
PAIP2B	-2.27745346574676	1
CXCL12	-2.27745346574676	1
EPS8	-2.27745346574676	0.345833925653397
TEAD1	-2.27745346574676	0.85593368747455
TRBV7-3	-2.27745346574676	1
PLXNA4	-2.27745346574676	1
CCDC8	-2.27745346574676	1
ZBTB8A	-2.27745346574676	1
DNAJB1	-2.26250312428078	1
COL6A2	-2.26185661069574	1
HSPA1A	-2.26022309508504	1
PAWR	-2.24503198805438	1
SLC30A1	-2.24182955601604	0.016655165326027
ARL4D	-2.2330593463883	0.006053971369164
PALLD	-2.2330593463883	1
EFEMP2	-2.2330593463883	1
MPZ	-2.2330593463883	0.67187257333644
AL356488.2	-2.2330593463883	1
GPR63	-2.2330593463883	1
F2RL2	-2.2330593463883	1
AC107068.1	-2.2330593463883	1
VASN	-2.20706413785536	1
HSPG2	-2.20706413785536	1
PXDN	-2.20706413785536	1
GBGT1	-2.20706413785536	1
ENAH	-2.18999062449641	1
NME4	-2.18152904574822	0.825171073197816
ASTN2	-2.17791779219584	1
NR4A3	-2.15905876494452	0.450774402482458
COL1A2	-2.15643806478539	0.222524810845382
CCDC138	-2.10752846430444	1
GJA1	-2.10752846430444	1
NRP2	-2.10752846430444	1
LYG2	-2.10752846430444	1
TRAV23DV6	-2.10752846430444	1
CCDC102B	-2.10752846430444	1
DLL3	-2.10752846430444	1
SLC22A23	-2.10752846430444	1
CAVIN1	-2.10752846430444	1
CAPN5	-2.10752846430444	0.964992310731464
NEK10	-2.10752846430444	1
USP6NL	-2.10752846430444	0.333942508562859
AL034417.3	-2.10752846430444	1
FCRLB	-2.10752846430444	1
AL353597.1	-2.10752846430444	0.56722530182957
CH25H	-2.10752846430444	1
ZFYVE9	-2.10752846430444	1
KANK2	-2.10752846430444	1
AC092718.1	-2.10752846430444	1
SNCA	-2.10752846430444	1
GRASP	-2.10752846430444	1
ADM5	-2.10752846430444	1
ARPIN	-2.10752846430444	1
ZNF396	-2.10752846430444	1
EPHA2	-2.10752846430444	1
AC018638.7	-2.10752846430444	1
KCTD15	-2.10752846430444	1
LTBP2	-2.10752846430444	1
HEMGN	-2.10752846430444	1
MEIS3	-2.10752846430444	0.532250998004646
CD93	-2.10752846430444	1
ZSCAN20	-2.10752846430444	1
PODXL	-2.10752846430444	1
SSC4D	-2.10752846430444	1
ENPP6	-2.10752846430444	0.958449512040546
U91328.2	-2.10752846430444	1
FAM129C	-2.10752846430444	0.095075889155261
CDK5R1	-2.10752846430444	1
SLC45A1	-2.10752846430444	1
AC005899.5	-2.10752846430444	0.026566664634304
HAS3	-2.10752846430444	1
OBSCN-AS1	-2.10752846430444	0.643910141659655
AC097634.1	-2.10752846430444	0.714898737031759
NLGN2	-2.10752846430444	0.620402141315363
RAVER2	-2.10752846430444	1
CD34	-2.10752846430444	5.21002555672204E-10
AC017071.1	-2.10752846430444	0.736647702133437
ACSM3	-2.10752846430444	0.671697797270082
PRSS53	-2.10752846430444	1
JAM3	-2.10752846430444	0.404253768487515
AC027449.1	-2.10752846430444	0.532143856697683
LINC00484	-2.10752846430444	0.834751468893424
SCAMP5	-2.10752846430444	0.264485181411427
GRIP2	-2.10752846430444	0.214911427018061
AC005224.1	-2.10752846430444	0.862125701591166
CASC1	-2.10752846430444	0.19737552466543
MAP1B	-2.10752846430444	0
RARB	-2.10752846430444	0.260569007711377
PTK6	-2.10752846430444	1
AC120049.1	-2.10752846430444	1
OSBPL1A	-2.10752846430444	0.253845367853874
EPHB4	-2.10752846430444	1
PCSK5	-2.10752846430444	1
AC004922.1	-2.10752846430444	1
F3	-2.10752846430444	1
PILRA	-2.10752846430444	0.780610806650571
SYCP3	-2.10752846430444	1
CLBA1	-2.10752846430444	0
ITGA11	-2.10752846430444	1
P2RX5-TAX1BP3	-2.10752846430444	1
AL132655.2	-2.10752846430444	1
CDC42EP1	-2.10752846430444	1
ACTRT3	-2.10752846430444	0.066760841810408
TTC7B	-2.10752846430444	1
ADRA2B	-2.10752846430444	1
KATNAL2	-2.10752846430444	1
JDP2	-2.10752846430444	1
EEF1A2	-2.10752846430444	1
IGHEP2	-2.10752846430444	1
ITIH5	-2.10752846430444	1
C19orf44	-2.10752846430444	1
POU6F1	-2.10752846430444	1
ARHGEF17	-2.10752846430444	1
FRZB	-2.10752846430444	1
PDGFRL	-2.10752846430444	1
MFSD2A	-2.10752846430444	1
TMEM98	-2.10752846430444	1
ISLR	-2.10752846430444	1
ADIRF	-2.08105625294325	0.943364985465981
IGFBP5	-2.07100258827933	1
CNN3	-2.07100258827933	0.115475796771665
AL139089.1	-2.06800010011781	1
NFIA	-2.06800010011781	1
TMEM97	-2.04863477525088	1
AC005332.6	-2.02952595230317	1
