	log2FoldChange	fdr
TMEM59	-1.16753048630193	1
COX6B1	-1.16616040543838	1
NDUFA11	-1.16573198819963	1
AC243960.1	-1.16272950003811	1
PCED1B	-1.16272950003811	1
STAT3	-1.16101098281181	1
HLA-DPA1	-1.15670571241034	1
NDUFS5	-1.15670571241034	1
BUB3	-1.15670571241034	1
VDAC3	-1.15670571241034	1
ERH	-1.1536843604351	1
SPCS2	-1.15307933000439	1
CKLF	-1.15285925601405	1
PDIA6	-1.15065666773753	1
WDR33	-1.15065666773753	1
RAC1	-1.1476226076479	1
PSME1	-1.14660983467483	1
GHITM	-1.14660983467483	1
PGK1	-1.14255161810048	1
SH3GLB1	-1.14255161810048	1
JAK3	-1.13848195379143	1
AIMP1	-1.13848195379143	1
MRPS36	-1.13848195379143	1
ARF6	-1.13644280851783	1
ID2	-1.13419641476652	1
FAM50A	-1.13235585099459	1
MYDGF	-1.13235585099459	1
PSMA1	-1.12620362401299	1
MED4	-1.12620362401299	1
SMARCE1	-1.12620362401299	1
MDFIC	-1.12620362401299	1
PRDX6	-1.12311764413925	1
RAB5C	-1.12002504908387	1
RNF187	-1.12002504908387	1
ZBTB20	-1.12002504908387	1
CYTIP	-1.11630516294676	1
NAPA	-1.11381989955716	1
SEC11C	-1.11381989955716	1
NHP2	-1.10758794584565	1
WARS	-1.10758794584565	1
GBP1	-1.10633831818771	1
PSTPIP1	-1.10550463134516	1
HM13	-1.10550463134516	1
PDCD1	-1.10132895537397	1
ARHGAP45	-1.10132895537397	1
UGP2	-1.10132895537397	1
MRPL34	-1.10132895537397	1
SNRPB	-1.09504269252653	1
NSD1	-1.09504269252653	1
TNFRSF1B	-1.08872891859433	1
TTC1	-1.08872891859433	1
SET	-1.08661817199852	1
TXN2	-1.08238739172051	1
DBNL	-1.07601786684478	1
ST3GAL5	-1.06962009564663	1
RIN3	-1.06962009564663	1
MIR4435-2HG	-1.06962009564663	1
ERGIC2	-1.06319382648719	1
PSMD14	-1.06319382648719	1
FAM3C	-1.06061528238542	1
CFLAR	-1.05996992561291	1
SIGIRR	-1.05673880434989	1
BIRC6	-1.0502547707797	1
STAT2	-1.0502547707797	1
PSMC6	-1.0502547707797	1
DNTTIP2	-1.0502547707797	1
PJA2	-1.0502547707797	1
TRPS1	-1.0502547707797	1
PIM1	-1.0502547707797	1
PSMA7	-1.04880990832454	1
G3BP1	-1.04374146382102	1
SRP9	-1.04047374998711	1
SEL1L3	-1.03719861795425	1
RBM5	-1.03719861795425	1
CCDC69	-1.03719861795425	1
CHORDC1	-1.03719861795425	1
DDT	-1.03282017744368	1
RBPJ	-1.02842840832652	1
ITGAL	-1.02842840832652	1
TERF2IP	-1.02402322920652	1
PCBP2	-1.02402322920652	1
HNRNPA0	-1.02402322920652	1
GADD45GIP1	-1.01960455793951	1
DNAJC8	-1.01739013687407	1
TMSB10	-1.01458388226257	1
COX6A1	-1.01295107170757	1
AP2M1	-1.01072640659306	1
SMC3	-1.01072640659306	1
EPS15	-1.01072640659306	1
CARS	-1.01072640659306	1
EIF2AK2	-1.00626675840236	1
SLFN5	-1.00499003704391	1
LPIN2	-1.00403175401905	1
NSD3	-1.00403175401905	1
MECP2	-1.00403175401905	1
ACTG1	-0.999044601545422	1
CAPZA1	-0.997305890830738	1
FBXW5	-0.997305890830738	1
UHMK1	-0.997305890830738	1
YPEL3	-0.997305890830738	1
KIF2A	-0.997305890830738	1
TLN1	-0.991902532301403	1
SSR2	-0.983759358992788	1
PHYKPL	-0.983759358992788	1
ORMDL3	-0.983759358992788	1
CASP8	-0.983759358992788	1
MRPS31	-0.983759358992788	1
TXN	-0.97830492890068	1
SUMO2	-0.976938093136774	1
ADGRE5	-0.976938093136774	1
