"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"CDH13","FAIL",NA,NA,NA,"CDH13",1
"HSBP1","OK",1.50441701511107e-06,4.67021585648037,0.0278040809620319,"HSBP1",1.39323990120501e-05
"MLYCD","OK",0.715534633808069,-0.56962696954011,-0.00366436387347365,"MLYCD",0.798793215544508
"AC009119.2","OK",5.84097110205951e-12,6.78409132036161,0.0355893869562393,"AC009119.2",8.46676273063934e-11
"OSGIN1","OK",0.519088996372969,-0.0478672913038722,-0.000451211797533434,"OSGIN1",0.764040682511283
"MBTPS1","OK",0.355255847918195,0.371168953185452,0.00197977231944787,"MBTPS1",0.678662926373986
"HSDL1","OK",0.245159932728726,0.689800164133625,0.00387894241545453,"HSDL1",0.532309050792014
"DNAAF1","OK",0.604949433352634,-0.266179288365631,-0.00172575369673861,"DNAAF1",0.764624772571818
"TAF1C","OK",0.603536790155152,-0.262512409056608,-0.00181995857705897,"TAF1C",0.764534687286597
"ADAD2","FAIL",NA,NA,NA,"ADAD2",1
"WFDC1","OK",0.547795769202293,-0.120094282400132,-0.000827352788781518,"WFDC1",0.764040682511283
"ATP2C2","OK",6.25209728776651e-09,5.69270551870019,0.0290797103863092,"ATP2C2",7.37848915163182e-08
"TLDC1","OK",0.0571738305636462,1.57894941129257,0.00920429051615192,"TLDC1",0.187991126055071
"COTL1","OK",1.72242004265677e-48,14.5860688642301,0.0873663424241316,"COTL1",6.56283046253243e-47
"KLHL36","OK",0.0123096293240526,2.24732508825232,0.0132430450084145,"KLHL36",0.0539110558491554
"USP10","OK",0.0217534940544369,2.01880983828677,0.0118694615720041,"USP10",0.0867483591709826
"CRISPLD2","OK",0.708149190031965,-0.547985848412106,-0.00341246920065682,"CRISPLD2",0.795878326292684
"ZDHHC7","OK",0.232682071996651,0.730042602549015,0.00412772715327596,"ZDHHC7",0.514563144087788
"KIAA0513","OK",0.819298437046604,-0.912694711890327,-0.0057131687505216,"KIAA0513",0.862978535381874
"FAM92B","OK",NA,NA,-0.000269291109418303,"FAM92B",NA
"LINC02139","FAIL",NA,NA,NA,"LINC02139",1
"GSE1","OK",0.000144714799092487,3.62458162786019,0.0214979502466773,"GSE1",0.00100997423893461
"LINC00311","FAIL",NA,NA,NA,"LINC00311",1
"AC133540.1","FAIL",NA,NA,NA,"AC133540.1",1
"AC092127.1","OK",0.530885057919897,-0.077494854902185,-0.000549899417269345,"AC092127.1",0.764040682511283
"GINS2","OK",0.0655632514343369,1.50967449304011,0.00876969111193579,"GINS2",0.20900571966209
"C16orf74","OK",0.213651825003717,0.79381412221986,0.00444576188543023,"C16orf74",0.485663374365693
"EMC8","OK",0.434396482481519,0.165191868975082,0.000742537986009565,"EMC8",0.764040682511283
"COX4I1","OK",3.08128406514773e-08,5.41401883001604,0.0322644323989865,"COX4I1",3.43622222261736e-07
"IRF8","OK",0.000476067062632549,3.30430139034652,0.0194353193493676,"IRF8",0.0030041408530397
"LINC02132","OK",0.148688343695218,1.04207547635876,0.00592943479436247,"LINC02132",0.38107936645653
"AC135012.1","OK",0.528108884070911,-0.0705169225164306,-0.000541945991073059,"AC135012.1",0.764040682511283
"FENDRR","FAIL",NA,NA,NA,"FENDRR",1
"FOXF1","OK",NA,NA,-0.000200285251272005,"FOXF1",NA
"AC009108.3","FAIL",NA,NA,NA,"AC009108.3",1
"MTHFSD","OK",0.451848265614646,0.120993061134906,0.000475097463906375,"MTHFSD",0.764040682511283
"FOXC2","FAIL",NA,NA,NA,"FOXC2",1
"FOXL1","FAIL",NA,NA,NA,"FOXL1",1
"LINC02188","FAIL",NA,NA,NA,"LINC02188",1
"C16orf95","OK",0.801148335011781,-0.845730095664922,-0.00518145414920702,"C16orf95",0.850113247099638
"FBXO31","OK",0.919376602547528,-1.40089058405009,-0.00864276731852023,"FBXO31",0.933624552722862
"MAP1LC3B","OK",0.220994614183899,0.768838435947665,0.00436953244713561,"MAP1LC3B",0.497059284720301
"ZCCHC14","OK",0.0413285212109679,1.73547309827216,0.0100777083705003,"ZCCHC14",0.146420262328784
"AC092720.1","OK",NA,NA,-0.000254359149004641,"AC092720.1",NA
"JPH3","FAIL",NA,NA,NA,"JPH3",1
"AC010536.1","OK",0.544762887812684,-0.112440399331621,-0.000797757189685611,"AC010536.1",0.764040682511283
"KLHDC4","OK",0.157046008289357,1.00667284317461,0.00579459109862514,"KLHDC4",0.396092556446742
"AC126696.3","FAIL",NA,NA,NA,"AC126696.3",1
"AC126696.1","FAIL",NA,NA,NA,"AC126696.1",1
"SLC7A5","OK",1.39671114715159e-45,14.1216576637186,0.0845289890238671,"SLC7A5",5.12650653391441e-44
"CA5A","FAIL",NA,NA,NA,"CA5A",1
"BANP","OK",0.196015307505234,0.855940638481725,0.00488650624244277,"BANP",0.458467256066393
"AC134312.5","FAIL",NA,NA,NA,"AC134312.5",1
"LINC02182","OK",NA,NA,-0.000324218842404816,"LINC02182",NA
"ZNF469","OK",0.201134390691442,0.837576169480507,0.00466970164226068,"ZNF469",0.466866841873846
"ZFPM1","OK",0.0202087189685485,2.04945710754845,0.0120526988496876,"ZFPM1",0.0815132394564825
"ZC3H18","OK",0.0902374397493848,1.33929431268888,0.00779353020262166,"ZC3H18",0.265551627125672
"IL17C","OK",NA,NA,-0.000245948199477337,"IL17C",NA
"CYBA","OK",2.14257638522606e-20,9.18064541141569,0.0548578354845285,"CYBA",4.41851158412019e-19
"MVD","OK",0.00234057566148486,2.82819342638958,0.0167196083563124,"MVD",0.0126669706833758
"SNAI3","OK",0.415542488775936,0.213310252099416,0.00102943183825637,"SNAI3",0.748612681288
"RNF166","OK",0.702940771375995,-0.532877390361945,-0.00344970345770651,"RNF166",0.792470803086242
"CTU2","OK",0.495048447076112,0.0124120212507428,-0.000174643368275561,"CTU2",0.764040682511283
"PIEZO1","OK",0.0811786466806977,1.39718717162814,0.00813719034558693,"PIEZO1",0.244928710941027
"CDT1","OK",0.00698489650893103,2.45803918593265,0.0143788187061074,"CDT1",0.0330121969381049
"APRT","OK",9.36923787871737e-10,6.00838127597235,0.0358434410844265,"APRT",1.18059774624499e-08
"GALNS","OK",0.164383903613222,0.976598812525188,0.00560701093574069,"GALNS",0.40759770832389
"TRAPPC2L","OK",0.0396331370380845,1.75495927447918,0.0102920577451656,"TRAPPC2L",0.141699975875886
"CBFA2T3","OK",0.687230505194261,-0.488015320115726,-0.00303143382918924,"CBFA2T3",0.786253179518003
"AC135782.1","OK",0.577779082718267,-0.196215068222134,-0.00131222780651973,"AC135782.1",0.764040682511283
"ACSF3","OK",0.0640232233722279,1.52185089027048,0.00888082461841659,"ACSF3",0.205405702410939
"LINC00304","OK",0.615378695836998,-0.293365741533954,-0.00189547795306657,"LINC00304",0.76572493095363
"CDH15","FAIL",NA,NA,NA,"CDH15",1
"SLC22A31","OK",0.523609412932727,-0.0592146085314701,-0.000500601583647563,"SLC22A31",0.764040682511283
"ZNF778","OK",0.357855372693285,0.364197216499548,0.00191843309854098,"ZNF778",0.681675934913777
"ANKRD11","OK",0.323920862123893,0.456762552936364,0.00249480536530802,"ANKRD11",0.640749448307529
"SPG7","OK",0.0964517307838535,1.30203780747452,0.00756844665563653,"SPG7",0.278562903399027
"RPL13","OK",2.10971192827921e-116,22.904198889523,0.136948062486386,"RPL13",1.57031255759313e-114
"CPNE7","OK",1.68606384325396e-35,12.3795536919148,0.0740828083678858,"CPNE7",5.12967294364888e-34
"DPEP1","OK",NA,NA,-0.000204920239718157,"DPEP1",NA
"CHMP1A","OK",0.000823955903636734,3.14729044475259,0.018649657233992,"CHMP1A",0.00495333070093864
"SPATA33","OK",0.7786314616999,-0.767579447411769,-0.00485039856749266,"SPATA33",0.834758571532826
"CDK10","OK",0.650026103488406,-0.385390941334726,-0.00256144895342419,"CDK10",0.771734217053505
"LINC02166","OK",0.556659919155724,-0.142506226300213,-0.000921443083963159,"LINC02166",0.764040682511283
"SPATA2L","OK",0.485984872543349,0.0351379440739838,-3.84486877479861e-05,"SPATA2L",0.764040682511283
"VPS9D1","OK",0.293361215120944,0.543591761577265,0.00299824572454348,"VPS9D1",0.59982486859447
