"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AC026462.3","OK",0.502187248033308,-0.00548264523129984,-9.33250223863864e-05,"AC026462.3",0.592612854312177
"LINC02126","OK",1.56814991466792e-20,9.21419249561847,0.0291678438497928,"LINC02126",3.2903880244699e-20
"CLEC18C","OK",0.526190629636855,-0.0656974021556306,-0.00025918315517476,"CLEC18C",0.592612854312177
"TAT","OK",0.531543631212633,-0.0791507246779005,-0.000293894685816668,"TAT",0.592612854312177
"VAT1L","OK",9.89030919902302e-07,4.75565279461766,0.0149168463000752,"VAT1L",1.55519373502719e-06
"NECAB2","OK",2.51261741038976e-14,7.53126171927747,0.0238433055412499,"NECAB2",4.73828433975202e-14
"SLC38A8","OK",0.561286662810862,-0.154232174164553,-0.000522504665474275,"SLC38A8",0.599220967160607
"AC009154.2","FAIL",NA,NA,NA,"AC009154.2",1
"AC134312.1","FAIL",NA,NA,NA,"AC134312.1",1
"PRDM7","FAIL",NA,NA,NA,"PRDM7",1
"OR1D2","OK",NA,NA,-0.000165589750203507,"OR1D2",NA
"OR1G1","FAIL",NA,NA,NA,"OR1G1",1
"AC004148.1","FAIL",NA,NA,NA,"AC004148.1",1
"AC129492.2","OK",0.534934559194316,-0.0876801691810134,-0.00030326254766319,"AC129492.2",0.592612854312177
"TMEM238L","OK",0.543336461402991,-0.108842924524585,-0.000385498761942791,"TMEM238L",0.593240143336557
"SHISA6","OK",0.0877753184935365,1.35458242210754,0.00417903250053259,"SHISA6",0.111777324218727
"AC005725.1","OK",0.543639787207524,-0.109607798542197,-0.000325069131676631,"AC005725.1",0.593262535056698
"LINC00670","OK",0.000194326870043973,3.54767074857706,0.00981446757978362,"LINC00670",0.000283327937428093
"SLC5A10","OK",NA,NA,-8.80258777910321e-05,"SLC5A10",NA
"AC068418.1","OK",0.505805347111637,-0.0145523608262618,-0.000116073369902581,"AC068418.1",0.592612854312177
"NOS2","OK",0.545438098700197,-0.114143798884867,-0.000395726655645772,"NOS2",0.593691821903645
"AC061975.1","OK",NA,NA,-0.000134012769586275,"AC061975.1",NA
"CCL11","OK",3.94785376981375e-100,21.208949269815,0.0677840038827932,"CCL11",1.52247696535196e-99
"AC060766.6","OK",NA,NA,-0.000113907488208227,"AC060766.6",NA
"AC243830.3","OK",0.533782265655794,-0.0847810380651806,-0.000310524184507598,"AC243830.3",0.592612854312177
"HNF1B","OK",4.26288934959818e-10,6.1348160512331,0.0192694246999705,"HNF1B",7.32068231632468e-10
"AC243571.1","FAIL",NA,NA,NA,"AC243571.1",1
"CSF3","OK",0.600731918172735,-0.255242038975776,-0.000825562290364302,"CSF3",0.62335144798741
"KRT222","OK",0.560224317419695,-0.151537964644425,-0.000525728337333179,"KRT222",0.598807825627121
"KRTAP3-1","OK",0.138125607771204,1.08877931474491,0.00320076716389934,"KRTAP3-1",0.173096264934442
"KRT32","OK",0.527965663459694,-0.0701570325409663,-0.00026633374439732,"KRT32",0.592612854312177
"AC099811.3","OK",0.527403556231398,-0.0687446363679352,-0.000249592724610434,"AC099811.3",0.592612854312177
"RPRML","OK",0,39.6503585518971,0.112456549081045,"RPRML",0
"HOXB8","OK",3.0787656769019e-39,13.0524015555121,0.0416822443001459,"HOXB8",8.01036851863491e-39
"TAC4","OK",NA,NA,-5.36114819769574e-05,"TAC4",NA
"WFIKKN2","OK",0.773963061596852,-0.751962057206695,-0.002440159298265,"WFIKKN2",0.776552458309697
"APOH","OK",5.20333754255442e-15,7.7341860508136,0.0219437031301045,"APOH",9.9569918837677e-15
"LINC01497","OK",0.025946563485011,1.94401927335642,0.00585001605635094,"LINC01497",0.0342145663853753
"LINC00482","OK",0.510658328917655,-0.0267196476538207,-0.000160435257508782,"LINC00482",0.592612854312177
"AC027601.3","OK",0.541357495742912,-0.103854256804727,-0.000370186830190986,"AC027601.3",0.593175507241572
"AP005530.1","OK",NA,NA,-0.000118966207632554,"AP005530.1",NA
"AP000915.1","OK",3.70087681244536e-09,5.78154531666093,0.0181677570625362,"AP000915.1",6.20657737139789e-09
"ADCYAP1","OK",3.70918162832554e-13,7.1714941045229,0.0215355811759775,"ADCYAP1",6.83176851033623e-13
"AP005328.2","OK",0.5671252877257,-0.169060028998694,-0.000556815018640893,"AP005328.2",0.602175673882652
"LINC01895","OK",0.520208792076783,-0.050677613142533,-0.000181817436751234,"LINC01895",0.592612854312177
"AP001269.2","OK",8.96198006869732e-38,12.793074715117,0.0340767342647252,"AP001269.2",2.29542400830124e-37
"AC091043.1","FAIL",NA,NA,NA,"AC091043.1",1
