	log2FoldChange	fdr
SEC61B	-1.13078660753535	1
IST1	-1.13078660753535	1
PRDX3	-1.13078660753535	1
MT-ND3	-1.12943132792334	1
ATP2B4	-1.12864769677902	1
DNAJB6	-1.12757705105946	1
ADAM19	-1.12757705105946	1
MRPS6	-1.12693428203975	1
SRSF7	-1.12670047683044	1
GIMAP4	-1.12564788423638	1
NDUFB1	-1.12251899155175	1
SUPT3H	-1.11790531623862	1
CD58	-1.11790531623862	1
LYSMD2	-1.11790531623862	1
CDKN1B	-1.11466694217208	1
PTPN22	-1.11466694217208	1
RPL36AL	-1.11265858552376	1
CD84	-1.11142128266842	1
C19orf70	-1.11142128266842	1
VCP	-1.11142128266842	1
RAB6A	-1.11142128266842	1
MRPL22	-1.11142128266842	1
RBM23	-1.11142128266842	1
JOSD2	-1.11142128266842	1
PRPF31	-1.11142128266842	1
XIAP	-1.11142128266842	1
XAF1	-1.1085301092742	1
PHC3	-1.10490797570975	1
SP100	-1.10273032240438	1
GNB1	-1.09836512984298	1
MRPS18B	-1.09836512984298	1
TPP1	-1.09836512984298	1
ZBTB7A	-1.09836512984298	1
LSP1	-1.09705299238019	1
RPS29	-1.09649028222254	1
SF3B1	-1.0939866893324	1
SDF2L1	-1.0939866893324	1
DDA1	-1.09179247591949	1
CHIC2	-1.09179247591949	1
GPATCH2L	-1.09179247591949	1
KAT6A	-1.09179247591949	1
PNKP	-1.09179247591949	1
MCUB	-1.09179247591949	1
DDB2	-1.09179247591949	1
MGEA5	-1.08849488581891	1
TAF10	-1.08518974109524	1
SURF1	-1.08518974109524	1
CENPC	-1.08518974109524	1
PHF19	-1.08518974109524	1
ANKRD49	-1.08518974109524	1
RDX	-1.08518974109524	1
CTSD	-1.08329768175403	1
ACTB	-1.08262134446684	1
PRDX6	-1.08187700705441	1
SRSF9	-1.08077106982824	1
PPP1R2	-1.08077106982824	1
IFI6	-1.07884567912355	1
CAPNS1	-1.0785566487628	1
AATF	-1.0785566487628	1
NUDCD2	-1.0785566487628	1
TTF1	-1.0785566487628	1
SAT1	-1.07545073789497	1
MAP2K2	-1.07522863104504	1
EIF3H	-1.07189291848179	1
PPP4C	-1.07189291848179	1
DAP3	-1.07189291848179	1
REXO2	-1.07189291848179	1
SDHA	-1.07189291848179	1
SRGN	-1.07022216549727	1
CALM3	-1.06892135195049	1
TNFSF13B	-1.06854947540742	1
UBE2D2	-1.06807120752938	1
SF3B6	-1.06519826590778	1
COPZ1	-1.06519826590778	1
MEA1	-1.06519826590778	1
RNF126	-1.06519826590778	1
ATP6V0E2	-1.06519826590778	1
POLR2J	-1.06183925381786	1
PDIA6	-1.06071784292511	1
RAD21	-1.05847240271946	1
PPP2R1A	-1.05847240271946	1
SENP6	-1.05847240271946	1
POLR2A	-1.05847240271946	1
MAPK1	-1.05847240271946	1
UBB	-1.0562234622159	1
HNRNPA3	-1.05601883913338	1
IL2RB	-1.05577325311851	1
GIMAP7	-1.05397101048452	1
PSMA1	-1.05397101048452	1
OFD1	-1.05171503654416	1
EMC10	-1.05171503654416	1
PSMD9	-1.05171503654416	1
KARS	-1.05171503654416	1
ISG20	-1.05074710961024	1
PTP4A2	-1.05074710961024	1
FTL	-1.04719247785346	1
CTSW	-1.04492587088152	1
EMC4	-1.04492587088152	1
SHKBP1	-1.04492587088152	1
KIAA1551	-1.04341281878595	1
HERC5	-1.04151926943827	1
KMT2A	-1.0381046050255	1
INTS6	-1.0381046050255	1
EP300	-1.0381046050255	1
IQGAP1	-1.03517130335578	1
EIF3J	-1.03468183938471	1
JAGN1	-1.03125093398444	1
ARL6IP6	-1.03125093398444	1
AUP1	-1.03125093398444	1
DDX46	-1.0285003229684	1
IKZF1	-1.0243645483992	1
TCEA1	-1.0243645483992	1
LENG1	-1.0243645483992	1
PLEKHB2	-1.0243645483992	1
BAG1	-1.0243645483992	1
RBBP7	-1.0243645483992	1
POLR2B	-1.0243645483992	1
KCMF1	-1.0243645483992	1
TNFSF8	-1.0243645483992	1
SKP1	-1.02206176252978	1
SSR3	-1.02090898976298	1
CASP1	-1.02090898976298	1
LGALS9	-1.02090898976298	1
ETS1	-1.01898565253519	1
LMO4	-1.01744513445941	1
SMCO4	-1.01744513445941	1
AP1S1	-1.01744513445941	1
STAT2	-1.01281368572776	1
N4BP1	-1.01049237381764	1
SCFD1	-1.01049237381764	1
SRP54	-1.01049237381764	1
ELAVL1	-1.01049237381764	1
ETFA	-1.01049237381764	1
PTPN18	-1.01049237381764	1
RCSD1	-1.01049237381764	1
ACP5	-1.01049237381764	1
TNFSF12	-1.0081673208714	1
HLA-B	-1.00693489183076	1
GPX4	-1.00550552114788	1
CASP4	-1.00350594350154	1
RBM42	-1.00350594350154	1
CHMP1B	-1.00350594350154	1
SLA2	-1.00350594350154	1
PGP	-1.00350594350154	1
TPGS1	-1.00350594350154	1
ADAM10	-1.00350594350154	1
ACIN1	-1.00350594350154	1
PRKCB	-1.00350594350154	1
PPP4R3B	-1.00350594350154	1
CHN1	-1.00350594350154	1
CALM2	-1.00116959474658	1
FERMT3	-1	1
TMX4	-0.998829456292063	1
SNRPE	-0.997892337038008	1
CD27	-0.996485515823763	1
CNOT4	-0.996485515823763	1
UBQLN1	-0.996485515823763	1
CD79B	-0.996485515823763	1
TC2N	-0.996485515823763	1
DCTPP1	-0.996485515823763	1
TMSB10	-0.995505272699497	1
SH2D2A	-0.995077321430955	1
BIRC3	-0.991197684464	1
ATP5I	-0.990844472308756	1
YWHAZ	-0.990844472308756	1
CTBS	-0.989430758289813	1
NDUFA7	-0.989430758289813	1
MITD1	-0.984708348047409	1
TPI1	-0.98427827052421	1
POP5	-0.982341333503494	1
UBE3A	-0.982341333503494	1
PTRHD1	-0.982341333503494	1
AFTPH	-0.982341333503494	1
TFRC	-0.982341333503494	1
GZMB	-0.981325708652758	1
RER1	-0.980919258434295	1
GBP5	-0.977256044343711	1
CCS	-0.975216899070111	1
SF3A3	-0.975216899070111	1
RPF1	-0.975216899070111	1
LAMTOR4	-0.973174867531894	1
YWHAQ	-0.973174867531894	1
MRPS23	-0.968057107497246	1
TOR1AIP1	-0.968057107497246	1
LUZP1	-0.968057107497246	1
ZFX	-0.968057107497246	1
RPL17	-0.967031373333248	1
GABPB1	-0.965662592356862	1
RPS28	-0.965164531663741	1
POLR2L	-0.964977714565273	1
TMC6	-0.964463842773236	1
IGHG1	-0.964463842773236	1
CDK2AP2	-0.964463842773236	1
SEC11C	-0.963744114626162	1
PSMB9	-0.961517227572577	1
IRF7	-0.960861606093042	1
CEP57	-0.960861606093042	1
SLC52A2	-0.960861606093042	1
PSMD12	-0.960861606093042	1
TFAM	-0.960861606093042	1
PDCD5	-0.957250352540664	1
NUBP2	-0.953630036861967	1
AKT2	-0.953630036861967	1
ATP1B3	-0.950000613461275	1
SLC38A1	-0.946362036397926	1
ARHGEF3	-0.946362036397926	1
OASL	-0.946362036397926	1
ATRAID	-0.946362036397926	1
ORAI1	-0.946362036397926	1
POLR2G	-0.946362036397926	1
CAPRIN1	-0.946362036397926	1
MRPS26	-0.946362036397926	1
LIMS1	-0.944278721897436	1
CFLAR	-0.942714259382782	1
RORA	-0.942192394648971	1
CRIP1	-0.94149628122611	1
SEMA4D	-0.939057235774692	1
MAP4K1	-0.939057235774692	1
STAT5B	-0.939057235774692	1
SACM1L	-0.939057235774692	1
ARL1	-0.939057235774692	1
DTD1	-0.939057235774692	1
ATXN7L3B	-0.939057235774692	1
ZNF148	-0.939057235774692	1
DNAJC8	-0.936614059846364	1
TMBIM4	-0.933554260097306	1
DYNLL1	-0.932635053286414	1
NELFE	-0.931715260433525	1
H1FX	-0.929036160237645	1
OXNAD1	-0.927503009146611	1
SLC25A5	-0.926799770019409	1
SIT1	-0.924335730067927	1
BRMS1	-0.924335730067927	1
KLC1	-0.924335730067927	1
UBE2G2	-0.924335730067927	1
ST6GAL1	-0.924335730067927	1
STAT5A	-0.924335730067927	1
RGS10	-0.922484934379986	1
EIF2S2	-0.921161482272783	1
SP140	-0.919889825036737	1
BTN3A2	-0.919394988797658	1
ARPC1B	-0.918899982774312	1
PSMD8	-0.918776204726027	1
AKAP9	-0.916918258505445	1
FLNA	-0.916918258505445	1
ARPP19	-0.916918258505445	1
COMMD2	-0.916918258505445	1
ZNF276	-0.916918258505445	1
STX4	-0.916918258505445	1
AC243960.1	-0.916918258505445	1
TRAPPC4	-0.913195172462726	1
VAMP2	-0.912662517835709	1
FKBP1A	-0.912662517835709	1
C4orf48	-0.911952005612096	1
CDC42	-0.910037347015359	1
MAZ	-0.909462453586398	1
IRF3	-0.909462453586398	1
COMMD4	-0.909462453586398	1
EMC3	-0.909462453586398	1
PTP4A1	-0.909462453586398	1
MYO7A	-0.909462453586398	1
RPL39	-0.90782064328491	1
HLA-DQB1	-0.90696859809784	1
ISCU	-0.90572005190058	1
EMC7	-0.90572005190058	1
SMG1	-0.90572005190058	1
BST2	-0.90530362960273	1
RPL36	-0.904602014979352	1
TANK	-0.901967917039473	1
BZW1	-0.901967917039473	1
PTTG1	-0.901967917039473	1
TP53I13	-0.901967917039473	1
ZBTB1	-0.901967917039473	1
UFC1	-0.898959167167134	1
APOBEC3C	-0.897667779605846	1
MBNL1	-0.894434244354066	1
UBL5	-0.893989859615949	1
TACC1	-0.891914252375551	1
MAF	-0.890652603811637	1
MX1	-0.889028861331976	1
NDUFC2	-0.888758059821862	1
AGPAT2	-0.886861024649266	1
CHMP1A	-0.886861024649266	1
FUNDC2	-0.886861024649266	1
ANKLE2	-0.886861024649266	1
KRCC1	-0.886861024649266	1
PTPN11	-0.886861024649266	1
ANKRD11	-0.88077369477035	1
APOBEC3G	-0.879247840539389	1
ZFR	-0.879247840539389	1
OLA1	-0.879247840539389	1
CLINT1	-0.879247840539389	1
AK2	-0.879247840539389	1
CCPG1	-0.879247840539389	1
ATP2B1	-0.879247840539389	1
MT2A	-0.879001583810808	1
LAT	-0.877338250530759	1
SNRPB	-0.876191282106052	1
RAB7A	-0.87542612958698	1
CD4	-0.873511470990245	1
ENO1	-0.872774386704611	1
COX5B	-0.869034027677391	1
TRIR	-0.865185127997763	1
HNRNPK	-0.865185127997763	1
LTA	-0.863899876205954	1
BTBD6	-0.863899876205954	1
MED8	-0.863899876205954	1
SLAMF6	-0.863899876205954	1
KIAA1109	-0.863899876205954	1
SLC6A6	-0.863899876205954	1
POP4	-0.863899876205954	1
CAP1	-0.862356061140617	1
ATXN1	-0.861325932542126	1
HERC4	-0.861325932542126	1
FAM49B	-0.861325932542126	1
HMGN2	-0.860810592282714	1
PRKAR1A	-0.860037236573553	1
SUMO3	-0.860037236573553	1
RPS15	-0.857784063234696	1
LAG3	-0.856164227426348	1
STK10	-0.856164227426348	1
ECI1	-0.856164227426348	1
ELOF1	-0.856164227426348	1
RAB18	-0.856164227426348	1
PDZD11	-0.856164227426348	1
TOMM7	-0.853424065081437	1
